timestamp,tipo,detalle,usuario,peticion,nodo,codigo
2025-10-27 23:16:08,EVENTO_INFO,Servidor escuchando en puerto 8080,,,-1,200
2025-10-27 23:16:52,LOGIN_OK,Inicio de sesión exitoso,juan,,1,200
2025-10-27 23:16:52,EVENTO_INFO,Usuario operario conectado,,,1,200
2025-10-27 23:16:52,PETICION,Petición recibida,juan,encender motor,1,200
2025-10-27 23:19:41,LOGIN_OK,Inicio de sesión exitoso,camila,,1,200
2025-10-27 23:19:41,EVENTO_INFO,Usuario operario conectado,,,1,200
2025-10-27 23:19:41,PETICION,Petición recibida,camila,apagar motor,1,200
2025-10-27 23:20:07,LOGIN_FAIL,Credenciales inválidas,julieta,,1,401
2025-10-28 01:37:53,EVENTO_INFO,Servidor escuchando en puerto 8080,,,-1,200
2025-10-28 01:39:07,LOGIN_OK,Inicio de sesión exitoso,camila,,1,200
2025-10-28 01:39:07,EVENTO_INFO,Usuario operario conectado,,,1,200
2025-10-28 01:39:07,PETICION,Petición recibida,camila,M17,1,200
2025-10-28 01:50:04,EVENTO_INFO,Servidor escuchando en puerto 8080,,,-1,200
2025-10-28 01:51:22,LOGIN_OK,Inicio de sesión exitoso,camila,,1,200
2025-10-28 01:51:22,EVENTO_INFO,Usuario operario conectado,,,1,200
2025-10-28 01:51:22,PETICION,Petición recibida,camila,apagar motores,1,200
2025-10-28 03:01:15,EVENTO_INFO,Servidor escuchando en puerto 8080,,,-1,200
2025-10-28 03:01:41,LOGIN_OK,Inicio de sesión exitoso,camila,,1,200
2025-10-28 03:01:41,EVENTO_INFO,Usuario operario conectado,,,1,200
2025-10-28 03:01:41,EVENTO_INFO,Reporte generado para usuario camila,,,1,200
2025-10-28 11:49:26,EVENTO_INFO,Servidor escuchando en puerto 8080,,,-1,200
2025-10-28 11:52:08,LOGIN_OK,Inicio de sesión exitoso,agustina,,1,200
2025-10-28 11:52:08,EVENTO_INFO,Usuario operario conectado,,,1,200
2025-10-28 11:52:08,PETICION,Petición recibida,agustina,encender motores,1,200
2025-10-28 11:52:14,LOGIN_OK,Inicio de sesión exitoso,agustina,,2,200
2025-10-28 11:52:14,EVENTO_INFO,Usuario operario conectado,,,2,200
2025-10-28 11:52:14,EVENTO_ERROR,Error al interpretar comando: home,,,2,400
2025-10-28 11:52:21,LOGIN_OK,Inicio de sesión exitoso,agustina,,3,200
2025-10-28 11:52:21,EVENTO_INFO,Usuario operario conectado,,,3,200
2025-10-28 11:52:21,EVENTO_INFO,Reporte generado para usuario agustina,,,3,200
2025-10-28 11:52:33,LOGIN_OK,Inicio de sesión exitoso,agustina,,4,200
2025-10-28 11:52:33,EVENTO_INFO,Usuario operario conectado,,,4,200
2025-10-28 11:52:33,EVENTO_ERROR,Error al interpretar comando: mover,,,4,400
2025-10-28 11:52:39,LOGIN_OK,Inicio de sesión exitoso,agustina,,5,200
2025-10-28 11:52:39,EVENTO_INFO,Usuario operario conectado,,,5,200
2025-10-28 11:52:39,EVENTO_ERROR,"Error al interpretar comando: move (10,20)",,,5,400
2025-10-28 11:52:43,LOGIN_OK,Inicio de sesión exitoso,agustina,,6,200
2025-10-28 11:52:43,EVENTO_INFO,Usuario operario conectado,,,6,200
2025-10-28 11:52:43,EVENTO_INFO,Reporte generado para usuario agustina,,,6,200
2025-10-28 11:52:51,LOGIN_OK,Inicio de sesión exitoso,agustina,,7,200
2025-10-28 11:52:51,EVENTO_INFO,Usuario operario conectado,,,7,200
